perf_id,movie_id,city,month,year,views,avg_rating,engagement_score,revenue_usd
RP0194,M014,Chennai,2,2025,48488,4.7,0.68,109380
RP0195,M010,Hyderabad,5,2025,30611,8.7,0.69,18110
RP0196,M004,New York,9,2024,32503,5.2,0.38,33947
RP0197,M002,Hyderabad,4,2024,4998,6.3,0.32,8427
RP0198,M009,New York,2,2025,11974,8.4,0.61,20212
RP0199,M001,New York,7,2024,19193,5.7,0.34,18307
RP0200,M008,Chennai,7,2025,45818,8.6,0.44,60415
RP0201,M004,New York,1,2024,32129,6.8,0.86,44678
RP0202,M011,Hyderabad,5,2025,31850,8.8,0.62,74466
RP0203,M008,Pune,3,2025,49147,7.2,0.34,62710
RP0204,M004,Bangalore,10,2025,26455,8.9,0.71,41667
RP0205,M015,Mumbai,10,2024,22877,7.8,0.37,41880
RP0206,M009,Ahmedabad,4,2024,22800,6.9,0.45,64474
RP0207,M012,Bangalore,2,2024,22807,7.0,0.57,41170
RP0208,M015,Bangalore,11,2025,19340,6.1,0.78,34550
RP0209,M009,London,11,2025,19999,7.2,0.58,38050
RP0210,M015,Ahmedabad,6,2025,24809,8.1,0.38,44551
RP0211,M002,Mumbai,3,2024,39319,4.4,0.78,65147
RP0212,M009,Delhi,3,2025,40424,6.9,0.42,81700
RP0213,M014,Delhi,8,2024,30112,9.1,0.79,54888
RP0214,M015,Kolkata,2,2025,17715,8.4,0.43,30839
RP0215,M014,New York,7,2024,10977,4.5,0.77,23002
RP0216,M004,New York,6,2025,35113,8.7,0.37,24747
RP0217,M004,Ahmedabad,9,2024,40460,5.5,0.9,78536
RP0218,M015,London,11,2024,1985,8.6,0.59,3856
RP0219,M006,Bangalore,9,2025,21184,9.1,0.68,22296
RP0220,M013,Delhi,11,2025,24988,8.1,0.65,13785
RP0221,M012,Mumbai,11,2025,30953,5.1,0.74,17022
RP0222,M012,Delhi,10,2024,8465,8.3,0.35,9493
RP0223,M014,Bangalore,10,2025,35406,5.7,0.72,45598
RP0224,M002,Pune,1,2024,16448,7.8,0.51,30223
RP0225,M002,Delhi,1,2025,33417,5.8,0.87,41715
RP0226,M012,Hyderabad,7,2024,30714,9.0,0.91,76406
RP0227,M009,Hyderabad,7,2025,33018,4.8,0.59,34423
RP0228,M006,London,7,2024,33900,5.1,0.46,69383
RP0229,M012,Kolkata,9,2025,966,9.4,0.93,2515
RP0230,M007,Kolkata,11,2025,6421,6.5,0.46,13655
RP0231,M014,Pune,4,2025,25786,7.1,0.53,63810
RP0232,M002,Pune,5,2024,7136,6.2,0.74,4327
RP0233,M003,Hyderabad,8,2025,33796,5.0,0.32,30281
RP0234,M010,Pune,7,2024,28144,5.9,0.46,26531
RP0235,M002,Chennai,5,2024,25253,8.5,0.74,17458
RP0236,M015,London,12,2025,7370,9.3,0.51,20113
RP0237,M006,Chennai,7,2025,35588,4.2,0.54,28865
RP0238,M004,New York,9,2024,44361,4.7,0.94,23097
RP0239,M003,Pune,4,2025,32390,4.7,0.86,86834
RP0240,M005,Chennai,11,2025,42034,6.5,0.64,81862
RP0241,M010,Hyderabad,1,2025,21274,7.2,0.33,36979
RP0242,M005,London,11,2024,46058,7.1,0.41,84813
RP0243,M014,London,9,2025,18733,8.2,0.87,44696
RP0244,M006,Hyderabad,6,2025,7832,4.7,0.62,12795
RP0245,M015,Mumbai,11,2025,13380,8.4,0.92,39642
RP0246,M013,Pune,5,2024,7424,5.1,0.92,14674
RP0247,M013,Delhi,9,2025,34756,5.1,0.61,74021
RP0248,M006,Hyderabad,12,2024,34052,5.2,0.48,57453
RP0249,M001,Delhi,4,2024,16954,7.3,0.7,13254
RP0250,M006,New York,11,2025,13148,9.3,0.42,10772
RP0251,M003,Chennai,3,2024,23351,9.1,0.34,61143
RP0252,M014,Delhi,10,2024,15746,8.0,0.53,26052
RP0253,M001,Chennai,2,2024,18098,4.3,0.75,40243
RP0254,M014,Chennai,2,2024,46647,4.9,0.54,114376
RP0255,M014,Delhi,1,2025,36599,7.9,0.5,105656
RP0256,M015,Bangalore,5,2025,9966,4.2,0.77,18886
RP0257,M003,Pune,5,2025,49285,5.1,0.42,34268
RP0258,M008,Bangalore,3,2025,20065,4.1,0.84,44840
RP0259,M011,Bangalore,7,2024,14523,4.6,0.84,9135
RP0260,M004,Pune,9,2025,20519,4.5,0.55,12837
RP0261,M001,New York,7,2025,10285,7.8,0.41,29164
RP0262,M003,Mumbai,10,2025,2803,8.3,0.45,7661
RP0263,M007,Bangalore,2,2025,47780,5.1,0.92,93576
RP0264,M001,Ahmedabad,8,2025,22714,4.2,0.36,25178
RP0265,M006,Mumbai,1,2025,37402,5.2,0.6,36420
RP0266,M013,Ahmedabad,3,2024,2768,4.5,0.43,7009
RP0267,M010,New York,8,2024,3203,7.6,0.62,3087
RP0268,M001,Kolkata,12,2025,17138,8.1,0.82,51362
RP0269,M002,Bangalore,9,2024,37821,6.6,0.3,43194
RP0270,M004,Mumbai,3,2024,27177,8.2,0.49,67026
RP0271,M015,Bangalore,6,2024,9134,4.5,0.56,7856
RP0272,M003,London,5,2024,14568,4.8,0.78,41392
RP0273,M012,London,5,2025,1615,8.1,0.59,4209
RP0274,M015,Pune,10,2024,12315,5.1,0.42,25909
RP0275,M006,Delhi,4,2024,21196,6.6,0.35,35271
RP0276,M014,New York,1,2024,20167,5.5,0.52,44974
RP0277,M010,Kolkata,2,2025,35892,4.2,0.37,69538
RP0278,M002,New York,10,2024,21449,4.9,0.58,57957
RP0279,M013,Chennai,12,2025,46579,5.4,0.66,115418
RP0280,M015,Pune,3,2024,34165,6.5,0.95,94624
RP0281,M009,Chennai,5,2025,34940,5.4,0.63,37623
RP0282,M014,New York,2,2024,43580,7.1,0.62,89307
RP0283,M010,Delhi,7,2025,9060,4.2,0.56,21222
RP0284,M013,Hyderabad,7,2024,35174,8.6,0.81,103732
RP0285,M005,Chennai,9,2025,35911,5.5,0.91,21463
RP0286,M003,Hyderabad,10,2025,8185,5.8,0.58,7121
RP0287,M014,Bangalore,2,2024,1137,5.1,0.77,2519
RP0288,M012,Mumbai,6,2025,10224,4.0,0.44,10679
RP0289,M001,Mumbai,9,2025,1851,5.4,0.49,4231
RP0290,M007,Hyderabad,10,2024,30216,7.4,0.3,54471
RP0291,M013,Delhi,2,2025,37732,4.7,0.82,21049
RP0292,M014,Pune,10,2024,6551,8.5,0.39,11373
RP0293,M015,London,11,2025,30433,8.1,0.7,44752
RP0294,M009,Kolkata,5,2024,48541,9.2,0.86,90724
RP0295,M008,Pune,4,2024,17409,4.3,0.9,44216
RP0296,M010,Chennai,11,2024,34254,5.4,0.38,25414
RP0297,M014,Ahmedabad,2,2024,16511,6.9,0.36,12072
RP0298,M010,Kolkata,12,2025,36891,5.8,0.39,71322
RP0299,M013,Bangalore,1,2024,20753,7.5,0.82,44864
RP0300,M002,Hyderabad,6,2024,24290,5.5,0.57,39257
