spend_id,movie_id,channel,month,year,spend_usd,impressions,clicks,conversions
MS0047,M009,Search Ads,7,2024,451070,4731752,351893,53315
MS0048,M001,Influencer,2,2025,297174,751383,50529,3961
MS0049,M001,YouTube,11,2024,490913,2023267,147378,13765
MS0050,M011,Influencer,5,2025,54591,4996197,228443,13045
MS0051,M013,YouTube,7,2025,403779,4666514,256219,20304
MS0052,M014,Social Media,8,2025,364566,869215,10813,862
MS0053,M015,YouTube,12,2025,105619,79429,2851,491
MS0054,M008,Social Media,7,2025,447303,675227,22416,4156
MS0055,M015,Social Media,11,2025,360456,3321003,131331,8379
MS0056,M015,Search Ads,4,2025,204494,2558955,180982,28295
MS0057,M001,Email,10,2025,433500,3799883,182074,11850
MS0058,M013,YouTube,9,2024,334331,3987895,51591,7340
MS0059,M007,Influencer,9,2025,230038,4648926,112323,14949
MS0060,M003,Email,7,2024,213640,3901321,253366,32733
MS0061,M008,Social Media,6,2025,287421,4120950,266671,16239
MS0062,M003,Influencer,1,2024,200327,3854521,266241,36049
MS0063,M003,YouTube,8,2024,21679,779603,15037,2739
MS0064,M007,Social Media,10,2025,17703,2589446,203127,27014
MS0065,M015,Email,6,2024,82980,661023,42885,4467
MS0066,M008,Search Ads,3,2025,265148,3882907,117866,7488
MS0067,M005,Search Ads,11,2024,211901,1600870,103870,6698
MS0068,M005,TV Ads,3,2024,58183,3429039,259912,29983
MS0069,M010,Social Media,12,2025,260362,2854038,130874,8005
MS0070,M012,Email,6,2025,393470,3123932,89494,6245
MS0071,M006,TV Ads,1,2024,264859,430603,13920,2323
MS0072,M003,Email,1,2024,452794,3130035,140182,7010
MS0073,M002,YouTube,7,2025,341412,3399558,86243,13421
MS0074,M001,Influencer,3,2024,250835,1490131,36938,2600
MS0075,M015,YouTube,1,2024,303596,2802288,202100,36948
MS0076,M002,Email,3,2024,264528,4413507,245551,45884
MS0077,M012,Influencer,2,2025,147267,3846885,103196,7268
MS0078,M015,YouTube,9,2024,294292,3180138,33192,1987
MS0079,M002,TV Ads,8,2024,70905,4868088,175378,8795
MS0080,M014,Search Ads,1,2025,354424,772876,24769,2826
MS0081,M004,TV Ads,1,2024,438312,3745927,51419,6963
MS0082,M008,Social Media,8,2025,47161,3658678,188624,28684
MS0083,M015,YouTube,9,2025,377348,776652,55459,7547
MS0084,M012,Email,9,2025,163635,1954242,130447,9278
MS0085,M007,Influencer,6,2024,320954,4708470,235969,42422
MS0086,M010,Influencer,12,2024,144789,2390661,183981,30338
MS0087,M010,TV Ads,5,2024,425776,4367368,326673,64227
MS0088,M004,TV Ads,6,2025,482748,643269,8032,801
MS0089,M004,TV Ads,12,2025,368928,1586590,23498,4320
MS0090,M008,YouTube,3,2025,144235,4445780,282199,48983
MS0091,M009,Influencer,1,2025,41706,3452684,242872,47809
MS0092,M008,YouTube,5,2024,111584,4984900,241053,47839
MS0093,M009,Search Ads,5,2025,169194,1533749,49470,4164
MS0094,M015,Influencer,8,2025,82299,4581459,61026,6108
MS0095,M012,YouTube,2,2025,36277,3350695,117969,16867
MS0096,M007,Social Media,10,2024,93600,1777969,88044,14032
MS0097,M009,Search Ads,5,2024,184748,2772543,48518,6016
MS0098,M011,Social Media,2,2025,324619,903261,65273,4240
MS0099,M013,Social Media,3,2025,276081,3303943,54953,10877
MS0100,M013,Search Ads,3,2024,164629,3784484,218510,12694
MS0101,M011,TV Ads,6,2025,22474,3456805,208086,21982
MS0102,M012,Search Ads,3,2024,53598,1535844,122675,22565
MS0103,M008,YouTube,1,2024,482444,2681900,174176,32225
MS0104,M003,Social Media,2,2025,460851,3553760,224484,34782
MS0105,M002,YouTube,11,2025,186821,1850185,130248,24691
MS0106,M008,Influencer,2,2025,342249,2900317,35497,3279
MS0107,M012,YouTube,12,2025,110276,1133264,48116,6380
MS0108,M011,Social Media,1,2025,24706,1984409,112416,19603
MS0109,M005,Social Media,4,2024,365225,1863883,145174,24088
MS0110,M001,TV Ads,7,2024,155455,2970995,55925,3059
MS0111,M009,Search Ads,10,2024,330641,2434137,35316,4641
MS0112,M004,TV Ads,9,2025,352853,2875373,205977,29349
MS0113,M006,YouTube,3,2024,408440,2093724,154205,23578
MS0114,M006,Influencer,10,2024,213383,642753,7923,880
MS0115,M011,Email,1,2024,20077,3386849,169286,32407
MS0116,M009,Search Ads,4,2025,212824,3734547,162172,9181
MS0117,M009,Search Ads,4,2025,150014,1101146,66251,12817
MS0118,M005,Influencer,8,2025,314639,3195464,224743,11928
MS0119,M007,TV Ads,11,2025,407810,1368483,45696,2339
MS0120,M014,YouTube,5,2024,15795,661349,29447,5824
MS0121,M015,YouTube,3,2024,215082,1590525,47732,5675
MS0122,M011,TV Ads,5,2025,107921,4854006,287221,20799
MS0123,M014,Email,1,2025,59937,635055,7027,1181
MS0124,M014,Email,9,2025,364820,439188,15341,779
MS0125,M009,Social Media,2,2025,142790,2088228,22920,4193
MS0126,M007,Social Media,5,2025,242821,1895024,124352,17712
MS0127,M015,Email,9,2025,488200,3879722,129527,23505
MS0128,M006,Email,12,2025,459424,4794543,336813,21272
MS0129,M005,TV Ads,7,2024,97811,3365524,44592,8605
MS0130,M013,TV Ads,2,2025,14441,1236696,51978,5356
MS0131,M008,Influencer,2,2024,252937,256897,15065,1038
MS0132,M013,Social Media,3,2024,190487,1409815,36366,5920
MS0133,M007,Search Ads,11,2024,377223,1461370,24738,4187
MS0134,M002,Influencer,12,2024,194849,4449262,289190,37114
MS0135,M011,Social Media,9,2025,201911,4794121,79642,5253
MS0136,M004,Search Ads,10,2025,290772,3165767,105300,13961
MS0137,M010,Search Ads,12,2024,403019,3940216,229788,27704
MS0138,M007,YouTube,4,2025,301510,4384930,57495,3308
MS0139,M009,Email,3,2025,411388,1861496,27367,5387
MS0140,M015,YouTube,1,2024,100375,4320342,126705,24608
MS0141,M009,Social Media,1,2024,82405,1460304,88445,10747
MS0142,M009,TV Ads,3,2024,122067,2520827,119905,17241
MS0143,M001,YouTube,11,2024,142100,793906,23356,2874
MS0144,M012,YouTube,10,2024,79037,4453185,277629,16631
MS0145,M012,TV Ads,1,2024,15351,1111435,68353,10951
MS0146,M001,Search Ads,8,2025,155226,1302148,32985,2298
MS0147,M006,YouTube,12,2024,455899,1116964,65545,4292
MS0148,M001,Social Media,7,2025,481078,1145911,51833,5841
MS0149,M007,YouTube,12,2024,113306,74208,4285,744
MS0150,M015,Email,2,2024,444203,3740738,157052,16235
MS0151,M003,Email,2,2025,412603,645907,37375,5522
MS0152,M011,Email,1,2024,473187,670987,28770,3070
MS0153,M010,Social Media,5,2024,402730,4503393,113809,21807
MS0154,M014,Influencer,7,2024,398955,4590017,309745,18594
MS0155,M003,Social Media,7,2025,307527,730818,48308,3886
MS0156,M001,YouTube,7,2025,272714,518730,18509,2472
MS0157,M008,TV Ads,2,2025,404863,390404,14375,2229
MS0158,M006,YouTube,5,2024,199619,557045,17393,1618
MS0159,M008,Email,4,2024,236222,3334276,262003,40015
MS0160,M010,Influencer,3,2025,228540,2933918,31092,4573
MS0161,M004,Social Media,2,2025,77882,1467199,54247,6242
MS0162,M003,Search Ads,6,2025,144074,1865648,121282,18170
MS0163,M005,Email,11,2024,363111,1319243,22557,2869
MS0164,M009,Search Ads,10,2024,395326,4185519,319941,44509
MS0165,M012,YouTube,12,2024,336513,3468893,70509,6064
MS0166,M011,TV Ads,9,2025,324984,4839002,279640,25041
MS0167,M013,YouTube,8,2024,135526,1173888,70916,13783
MS0168,M015,TV Ads,5,2024,201697,533210,18943,1617
MS0169,M014,YouTube,11,2025,28210,2070695,31947,4982
MS0170,M007,Influencer,12,2025,24674,3186182,250464,22557
MS0171,M015,Influencer,7,2025,371669,4778788,273632,34178
MS0172,M012,TV Ads,7,2025,414796,2864407,218523,22742
MS0173,M010,Email,9,2025,257562,2322092,87106,16522
MS0174,M013,Social Media,3,2025,43335,3664718,90164,8299
MS0175,M005,Email,6,2025,203954,235606,11187,2083
MS0176,M009,TV Ads,6,2025,55895,2916307,67003,7361
MS0177,M010,Social Media,4,2024,209904,3380905,105301,12320
MS0178,M008,Search Ads,10,2024,466191,2366798,46317,4872
MS0179,M005,Social Media,11,2025,105206,3277986,60897,10477
MS0180,M011,TV Ads,7,2024,295454,4944930,117090,19776
