viewer_id,age_group,gender,city,subscription_plan,join_date,is_active
V0074,45-54,Male,Bangalore,Family,2024-03-08,Yes
V0075,25-34,Male,Ahmedabad,Basic,2023-07-25,No
V0076,55+,Non-binary,London,Premium,2023-11-15,No
V0077,55+,Female,New York,Family,2023-09-20,Yes
V0078,45-54,Female,Chennai,Basic,2024-02-01,Yes
V0079,55+,Female,Hyderabad,Premium,2024-02-24,No
V0080,35-44,Male,Chennai,Premium,2022-03-21,Yes
V0081,18-24,Male,Bangalore,Basic,2023-07-08,No
V0082,25-34,Non-binary,Hyderabad,Free,2023-12-12,No
V0083,35-44,Non-binary,Ahmedabad,Family,2023-02-22,Yes
V0084,45-54,Female,London,Free,2022-07-31,No
V0085,18-24,Female,Chennai,Family,2023-05-04,No
V0086,55+,Non-binary,Hyderabad,Family,2023-07-06,Yes
V0087,45-54,Female,Mumbai,Family,2022-10-07,Yes
V0088,45-54,Non-binary,Bangalore,Family,2023-11-16,Yes
V0089,55+,Male,Pune,Free,2023-09-30,Yes
V0090,45-54,Male,Ahmedabad,Basic,2023-10-21,Yes
V0091,45-54,Female,Hyderabad,Family,2022-09-24,Yes
V0092,45-54,Female,Pune,Premium,2022-12-12,Yes
V0093,18-24,Non-binary,New York,Free,2023-04-27,Yes
V0094,18-24,Non-binary,Mumbai,Free,2022-08-18,Yes
V0095,18-24,Non-binary,Bangalore,Basic,2022-07-24,Yes
V0096,18-24,Non-binary,Hyderabad,Family,2023-04-30,Yes
V0097,35-44,Male,London,Free,2024-02-25,Yes
V0098,18-24,Non-binary,Mumbai,Premium,2022-11-15,No
V0099,25-34,Male,London,Basic,2023-02-11,Yes
V0100,35-44,Non-binary,London,Free,2023-12-15,Yes
V0101,55+,Female,Kolkata,Free,2022-12-22,Yes
V0102,45-54,Female,Delhi,Family,2022-01-13,Yes
V0103,45-54,Non-binary,Bangalore,Family,2023-10-13,Yes
V0104,55+,Non-binary,Chennai,Family,2024-01-22,No
V0105,55+,Female,Kolkata,Basic,2023-03-23,Yes
V0106,45-54,Male,Ahmedabad,Family,2022-10-13,Yes
V0107,45-54,Female,Bangalore,Family,2022-01-30,Yes
V0108,35-44,Female,Chennai,Premium,2022-12-30,Yes
V0109,25-34,Male,Hyderabad,Family,2023-06-14,No
V0110,25-34,Non-binary,Ahmedabad,Family,2023-07-23,No
V0111,18-24,Male,Chennai,Basic,2024-03-22,No
V0112,25-34,Female,London,Premium,2023-12-10,No
V0113,55+,Female,Pune,Premium,2023-07-21,Yes
V0114,45-54,Female,Chennai,Premium,2023-12-21,Yes
V0115,25-34,Female,Delhi,Basic,2022-05-04,Yes
V0116,45-54,Female,London,Premium,2022-08-10,Yes
V0117,25-34,Female,Hyderabad,Premium,2024-05-02,Yes
V0118,18-24,Non-binary,New York,Basic,2022-11-06,Yes
V0119,18-24,Non-binary,Chennai,Basic,2022-02-16,No
V0120,18-24,Non-binary,Chennai,Family,2022-04-16,No
V0121,35-44,Male,Mumbai,Premium,2023-03-28,No
V0122,18-24,Female,Ahmedabad,Free,2022-04-27,Yes
V0123,25-34,Non-binary,Chennai,Free,2022-06-05,Yes
V0124,55+,Female,London,Basic,2022-05-02,No
V0125,45-54,Female,London,Family,2023-04-07,Yes
V0126,55+,Male,London,Free,2023-08-06,Yes
V0127,25-34,Female,Delhi,Basic,2023-10-03,Yes
V0128,55+,Male,Bangalore,Free,2022-06-27,No
V0129,55+,Female,Chennai,Free,2023-04-07,Yes
V0130,35-44,Non-binary,Ahmedabad,Free,2022-10-23,Yes
V0131,55+,Non-binary,Hyderabad,Family,2022-09-28,Yes
V0132,25-34,Non-binary,Bangalore,Premium,2023-07-12,Yes
V0133,18-24,Male,Chennai,Premium,2022-03-15,No
V0134,45-54,Non-binary,Chennai,Family,2022-05-08,Yes
V0135,55+,Female,Ahmedabad,Free,2023-05-28,Yes
V0136,35-44,Non-binary,Chennai,Free,2023-03-19,Yes
V0137,55+,Non-binary,Mumbai,Premium,2022-08-23,Yes
V0138,25-34,Female,New York,Family,2024-02-21,Yes
V0139,55+,Female,Ahmedabad,Free,2022-07-05,No
V0140,45-54,Female,Kolkata,Free,2022-12-23,Yes
V0141,45-54,Non-binary,Ahmedabad,Premium,2022-12-04,No
V0142,55+,Male,Ahmedabad,Free,2024-04-13,Yes
V0143,35-44,Male,Pune,Free,2022-09-16,No
V0144,18-24,Male,New York,Premium,2023-02-28,No
V0145,45-54,Male,Hyderabad,Premium,2023-10-03,Yes
V0146,45-54,Non-binary,Ahmedabad,Free,2022-10-22,Yes
V0147,55+,Male,Bangalore,Premium,2023-10-08,Yes
V0148,45-54,Male,Hyderabad,Free,2023-07-20,No
V0149,25-34,Female,Chennai,Premium,2022-05-01,No
V0150,45-54,Female,Hyderabad,Family,2024-05-04,Yes
V0151,25-34,Non-binary,New York,Basic,2023-01-28,Yes
V0152,45-54,Female,New York,Premium,2022-10-10,Yes
V0153,35-44,Non-binary,London,Family,2022-10-17,Yes
V0154,55+,Female,Kolkata,Premium,2023-04-03,No
V0155,35-44,Male,Hyderabad,Family,2023-04-12,Yes
V0156,45-54,Male,Kolkata,Family,2024-05-26,No
V0157,25-34,Female,Mumbai,Basic,2023-01-31,Yes
V0158,18-24,Female,Delhi,Family,2024-06-09,Yes
V0159,25-34,Female,Bangalore,Free,2024-01-10,No
V0160,35-44,Female,London,Family,2024-03-11,Yes
V0161,35-44,Non-binary,New York,Family,2024-05-22,Yes
V0162,45-54,Non-binary,Mumbai,Free,2023-10-04,Yes
V0163,35-44,Male,Delhi,Family,2023-10-09,Yes
V0164,18-24,Female,Bangalore,Premium,2024-02-18,Yes
V0165,35-44,Male,Chennai,Premium,2022-02-17,Yes
V0166,25-34,Male,New York,Family,2023-03-18,Yes
V0167,25-34,Male,London,Family,2022-06-24,Yes
V0168,55+,Male,Hyderabad,Family,2023-05-25,Yes
V0169,35-44,Non-binary,Mumbai,Family,2023-04-16,Yes
V0170,55+,Male,Delhi,Family,2023-11-25,Yes
V0171,35-44,Non-binary,Pune,Premium,2023-08-25,No
V0172,35-44,Male,Pune,Family,2024-05-15,Yes
V0173,45-54,Non-binary,Kolkata,Premium,2022-08-31,Yes
V0174,45-54,Female,Mumbai,Free,2022-01-23,No
V0175,35-44,Male,London,Premium,2024-05-02,Yes
V0176,25-34,Non-binary,Chennai,Basic,2023-10-14,Yes
V0177,18-24,Female,Ahmedabad,Free,2023-10-05,Yes
V0178,25-34,Male,Chennai,Premium,2024-01-20,No
V0179,25-34,Male,New York,Premium,2022-06-29,Yes
V0180,25-34,Female,Ahmedabad,Premium,2024-04-30,Yes
V0181,18-24,Female,Delhi,Basic,2024-04-03,Yes
V0182,45-54,Non-binary,Kolkata,Free,2024-05-30,No
V0183,35-44,Non-binary,Delhi,Family,2022-01-15,Yes
V0184,35-44,Non-binary,Pune,Premium,2023-11-20,Yes
V0185,25-34,Female,Mumbai,Premium,2023-11-23,Yes
V0186,18-24,Non-binary,Ahmedabad,Premium,2023-10-26,No
V0187,25-34,Male,Mumbai,Premium,2022-04-30,No
V0188,18-24,Male,New York,Basic,2022-04-29,No
V0189,35-44,Non-binary,New York,Family,2023-04-10,Yes
V0190,18-24,Female,London,Family,2023-03-01,Yes
V0191,35-44,Male,Ahmedabad,Family,2022-02-03,Yes
V0192,35-44,Male,Kolkata,Premium,2024-05-25,Yes
V0193,35-44,Male,Delhi,Family,2023-02-12,Yes
V0194,25-34,Non-binary,London,Free,2023-11-10,Yes
V0195,35-44,Male,Bangalore,Basic,2024-03-16,Yes
V0196,55+,Male,London,Basic,2024-04-29,Yes
V0197,25-34,Non-binary,Mumbai,Premium,2022-12-03,Yes
V0198,55+,Female,Bangalore,Free,2022-05-14,Yes
V0199,18-24,Female,Hyderabad,Premium,2022-05-15,Yes
V0200,35-44,Male,Bangalore,Family,2022-06-28,Yes
V0201,18-24,Female,Ahmedabad,Premium,2024-02-03,Yes
V0202,55+,Male,London,Free,2023-04-08,Yes
V0203,18-24,Male,Ahmedabad,Family,2023-04-15,No
V0204,18-24,Female,Ahmedabad,Free,2023-12-04,Yes
V0205,55+,Male,Delhi,Basic,2022-11-26,Yes
V0206,55+,Non-binary,Kolkata,Family,2023-10-02,Yes
V0207,55+,Non-binary,Pune,Free,2023-04-10,Yes
V0208,55+,Non-binary,Hyderabad,Family,2024-05-23,No
V0209,45-54,Female,Ahmedabad,Family,2022-08-22,No
V0210,18-24,Female,Pune,Premium,2024-01-18,Yes
V0211,25-34,Non-binary,Ahmedabad,Free,2023-01-19,Yes
V0212,18-24,Male,Pune,Free,2024-05-01,Yes
V0213,25-34,Non-binary,Mumbai,Premium,2024-04-11,Yes
V0214,35-44,Non-binary,Pune,Free,2023-02-25,Yes
V0215,35-44,Female,Delhi,Basic,2023-09-07,Yes
V0216,45-54,Male,Delhi,Premium,2023-11-04,Yes
V0217,35-44,Non-binary,Hyderabad,Family,2022-04-28,Yes
V0218,35-44,Male,Bangalore,Premium,2023-09-16,Yes
V0219,35-44,Male,Bangalore,Basic,2022-12-14,No
V0220,25-34,Non-binary,Mumbai,Free,2022-03-13,Yes
V0221,45-54,Female,Kolkata,Basic,2023-01-21,Yes
V0222,35-44,Non-binary,London,Free,2022-11-16,Yes
V0223,25-34,Non-binary,Mumbai,Free,2022-06-09,Yes
V0224,45-54,Female,London,Family,2023-03-30,No
V0225,25-34,Non-binary,Delhi,Premium,2022-10-07,No
V0226,35-44,Non-binary,London,Family,2022-04-24,Yes
V0227,25-34,Female,London,Free,2022-02-16,Yes
V0228,35-44,Male,Bangalore,Premium,2022-07-29,Yes
V0229,18-24,Male,Ahmedabad,Family,2022-12-02,Yes
V0230,45-54,Non-binary,Hyderabad,Premium,2022-05-13,Yes
V0231,18-24,Female,Mumbai,Family,2023-02-11,Yes
V0232,35-44,Non-binary,Pune,Family,2024-06-01,No
V0233,18-24,Female,Mumbai,Premium,2022-10-24,Yes
V0234,55+,Female,Kolkata,Free,2024-03-31,No
V0235,18-24,Male,Pune,Family,2024-05-14,Yes
V0236,35-44,Non-binary,Kolkata,Basic,2023-02-10,Yes
V0237,25-34,Male,New York,Free,2024-03-08,Yes
V0238,35-44,Female,Bangalore,Basic,2024-03-05,Yes
V0239,35-44,Male,Bangalore,Basic,2022-05-30,Yes
V0240,45-54,Female,London,Family,2022-07-01,Yes
V0241,35-44,Male,Ahmedabad,Free,2024-06-03,No
V0242,35-44,Female,London,Free,2023-03-29,Yes
V0243,18-24,Female,Ahmedabad,Family,2023-06-04,Yes
V0244,35-44,Female,Delhi,Free,2022-02-28,No
V0245,55+,Non-binary,Mumbai,Family,2023-04-19,Yes
V0246,55+,Female,New York,Basic,2022-11-26,Yes
V0247,18-24,Female,Delhi,Basic,2023-04-07,Yes
V0248,45-54,Female,New York,Basic,2022-09-11,Yes
V0249,35-44,Female,Pune,Premium,2023-01-17,Yes
V0250,35-44,Male,Kolkata,Free,2024-03-19,No
V0251,35-44,Non-binary,London,Basic,2022-10-18,Yes
V0252,55+,Non-binary,Bangalore,Premium,2022-03-25,Yes
V0253,45-54,Male,London,Free,2023-11-03,Yes
V0254,45-54,Non-binary,Kolkata,Basic,2023-07-27,Yes
V0255,45-54,Non-binary,Kolkata,Free,2023-10-24,Yes
V0256,25-34,Male,Kolkata,Family,2022-11-13,Yes
V0257,25-34,Male,Delhi,Premium,2022-08-20,Yes
V0258,55+,Non-binary,New York,Free,2023-06-04,Yes
V0259,55+,Male,London,Family,2024-06-16,Yes
V0260,25-34,Non-binary,London,Basic,2022-06-16,No
V0261,45-54,Female,Hyderabad,Family,2022-02-14,Yes
V0262,45-54,Male,New York,Basic,2024-02-10,Yes
V0263,45-54,Male,Kolkata,Family,2024-04-08,No
V0264,35-44,Female,New York,Family,2024-02-27,Yes
V0265,25-34,Non-binary,Bangalore,Premium,2024-04-16,Yes
V0266,45-54,Female,New York,Free,2023-10-19,Yes
V0267,18-24,Male,Chennai,Family,2022-10-19,Yes
V0268,45-54,Male,Hyderabad,Family,2024-04-30,Yes
V0269,45-54,Male,Pune,Premium,2022-01-28,Yes
V0270,18-24,Female,Hyderabad,Free,2023-01-31,Yes
V0271,35-44,Male,Bangalore,Free,2022-04-12,Yes
V0272,45-54,Non-binary,Bangalore,Family,2024-04-29,No
V0273,18-24,Male,Mumbai,Premium,2023-09-23,Yes
V0274,25-34,Non-binary,London,Family,2024-05-05,Yes
V0275,35-44,Male,Chennai,Free,2024-03-05,Yes
V0276,45-54,Non-binary,London,Family,2022-09-02,Yes
V0277,45-54,Non-binary,New York,Free,2022-04-24,Yes
V0278,25-34,Female,Pune,Free,2024-01-06,Yes
V0279,55+,Female,Bangalore,Free,2022-09-04,Yes
V0280,55+,Non-binary,New York,Free,2022-03-11,No
V0281,45-54,Male,Pune,Premium,2024-06-13,Yes
V0282,18-24,Female,Delhi,Premium,2024-02-05,Yes
V0283,18-24,Non-binary,Kolkata,Basic,2024-01-21,Yes
V0284,55+,Female,Bangalore,Family,2022-12-27,No
V0285,25-34,Male,Delhi,Family,2023-10-09,Yes
V0286,25-34,Male,Hyderabad,Free,2022-10-28,Yes
V0287,55+,Female,New York,Family,2022-11-14,Yes
V0288,25-34,Female,Kolkata,Free,2022-02-07,Yes
V0289,18-24,Female,Pune,Family,2022-10-07,No
V0290,35-44,Male,Ahmedabad,Family,2023-01-31,Yes
V0291,55+,Female,Delhi,Family,2024-03-27,Yes
V0292,55+,Male,New York,Premium,2023-03-17,Yes
V0293,18-24,Female,Chennai,Premium,2022-04-16,No
V0294,45-54,Male,Ahmedabad,Premium,2023-09-10,No
V0295,35-44,Non-binary,Pune,Premium,2022-02-13,Yes
V0296,45-54,Female,New York,Basic,2022-03-18,Yes
V0297,55+,Non-binary,Ahmedabad,Free,2022-05-27,Yes
V0298,25-34,Non-binary,Kolkata,Premium,2022-03-10,No
V0299,18-24,Non-binary,Bangalore,Family,2023-08-04,Yes
V0300,45-54,Male,London,Basic,2023-01-16,Yes
V0301,35-44,Non-binary,Chennai,Basic,2023-02-12,Yes
V0302,25-34,Female,New York,Family,2022-01-27,Yes
V0303,35-44,Non-binary,Ahmedabad,Basic,2022-09-26,Yes
V0304,45-54,Male,Delhi,Basic,2023-12-12,Yes
V0305,25-34,Non-binary,Ahmedabad,Free,2023-04-08,Yes
V0306,35-44,Non-binary,Delhi,Premium,2023-11-15,Yes
V0307,25-34,Non-binary,Bangalore,Premium,2024-05-21,Yes
V0308,25-34,Male,Hyderabad,Family,2022-05-05,Yes
V0309,55+,Non-binary,Kolkata,Family,2023-01-05,Yes
V0310,18-24,Male,Chennai,Family,2023-09-19,No
V0311,45-54,Female,London,Free,2023-06-23,Yes
V0312,18-24,Female,Ahmedabad,Premium,2022-11-21,Yes
V0313,55+,Non-binary,London,Basic,2024-06-18,Yes
V0314,55+,Male,Delhi,Basic,2023-03-20,Yes
V0315,25-34,Female,Hyderabad,Premium,2022-06-18,Yes
V0316,18-24,Female,Hyderabad,Premium,2024-05-16,Yes
V0317,35-44,Non-binary,New York,Free,2023-10-03,Yes
V0318,55+,Male,Bangalore,Premium,2023-08-30,Yes
V0319,18-24,Male,Mumbai,Premium,2024-04-25,Yes
V0320,55+,Female,London,Free,2024-02-25,No
V0321,55+,Female,Chennai,Family,2023-10-05,Yes
V0322,45-54,Female,Ahmedabad,Free,2024-04-04,Yes
V0323,45-54,Female,Ahmedabad,Family,2022-06-11,Yes
V0324,55+,Male,Kolkata,Premium,2022-12-15,Yes
V0325,25-34,Female,New York,Free,2023-02-13,Yes
V0326,45-54,Male,Chennai,Family,2022-09-05,Yes
V0327,18-24,Male,Chennai,Family,2022-05-25,No
V0328,25-34,Female,London,Premium,2022-09-12,Yes
V0329,25-34,Female,New York,Family,2024-02-21,No
V0330,35-44,Female,Mumbai,Free,2024-06-19,No
V0331,45-54,Male,Hyderabad,Premium,2023-06-02,Yes
V0332,35-44,Female,London,Family,2022-02-21,Yes
V0333,18-24,Male,Pune,Basic,2023-07-04,Yes
V0334,35-44,Female,Kolkata,Free,2024-01-15,No
V0335,55+,Non-binary,Hyderabad,Premium,2022-02-22,Yes
V0336,45-54,Non-binary,Ahmedabad,Premium,2022-03-17,Yes
V0337,18-24,Female,Kolkata,Premium,2022-05-12,Yes
V0338,25-34,Male,London,Family,2024-02-13,Yes
V0339,18-24,Male,Kolkata,Family,2022-02-16,No
V0340,55+,Non-binary,Bangalore,Premium,2022-06-02,Yes
V0341,45-54,Non-binary,Chennai,Premium,2022-06-16,No
V0342,55+,Female,Ahmedabad,Free,2023-12-27,Yes
V0343,18-24,Female,London,Premium,2022-12-06,Yes
V0344,45-54,Female,London,Basic,2023-09-04,Yes
V0345,45-54,Male,New York,Family,2023-08-21,Yes
V0346,25-34,Male,London,Free,2024-04-21,Yes
V0347,45-54,Female,Pune,Basic,2022-01-20,No
V0348,25-34,Female,New York,Family,2023-12-09,Yes
V0349,25-34,Non-binary,Hyderabad,Premium,2023-12-24,No
V0350,45-54,Female,Bangalore,Family,2023-06-23,Yes
V0351,35-44,Non-binary,Chennai,Family,2023-07-14,Yes
V0352,35-44,Non-binary,Chennai,Basic,2022-09-10,Yes
V0353,35-44,Non-binary,Hyderabad,Family,2024-02-29,Yes
V0354,35-44,Non-binary,Chennai,Premium,2023-05-07,Yes
V0355,55+,Female,Pune,Premium,2023-08-11,Yes
V0356,18-24,Female,Delhi,Premium,2022-10-25,No
V0357,35-44,Non-binary,Ahmedabad,Basic,2023-11-03,Yes
V0358,55+,Female,New York,Premium,2024-04-27,Yes
V0359,55+,Non-binary,London,Basic,2022-04-22,Yes
V0360,55+,Male,Hyderabad,Free,2022-02-21,Yes
V0361,35-44,Non-binary,Ahmedabad,Free,2023-02-28,Yes
V0362,55+,Male,Pune,Family,2022-01-06,No
V0363,25-34,Female,Kolkata,Premium,2023-10-29,Yes
V0364,18-24,Non-binary,London,Basic,2024-02-27,Yes
V0365,45-54,Male,Mumbai,Family,2022-06-29,No
V0366,35-44,Male,Mumbai,Premium,2022-07-10,Yes
V0367,35-44,Female,New York,Family,2022-12-10,Yes
V0368,55+,Female,Chennai,Basic,2024-05-21,Yes
V0369,25-34,Non-binary,Ahmedabad,Premium,2022-12-05,Yes
V0370,35-44,Female,London,Basic,2022-01-15,Yes
V0371,45-54,Female,New York,Premium,2023-09-18,Yes
V0372,18-24,Male,Bangalore,Family,2023-02-15,Yes
V0373,18-24,Female,Pune,Basic,2022-09-12,No
V0374,35-44,Female,Chennai,Free,2024-02-11,Yes
V0375,35-44,Non-binary,Hyderabad,Free,2023-11-01,Yes
V0376,35-44,Male,Pune,Premium,2023-04-22,Yes
V0377,35-44,Female,London,Basic,2023-10-17,Yes
V0378,45-54,Male,Ahmedabad,Premium,2022-05-17,No
V0379,55+,Female,New York,Basic,2023-12-20,Yes
V0380,55+,Male,New York,Family,2023-11-28,Yes
V0381,55+,Male,Mumbai,Basic,2022-03-21,Yes
V0382,35-44,Non-binary,Ahmedabad,Free,2022-06-18,Yes
V0383,55+,Female,Delhi,Family,2024-01-05,Yes
V0384,25-34,Non-binary,Pune,Family,2023-04-10,Yes
V0385,45-54,Non-binary,Chennai,Free,2023-07-27,No
V0386,18-24,Non-binary,Hyderabad,Free,2022-09-18,Yes
V0387,35-44,Non-binary,Delhi,Free,2023-03-10,Yes
V0388,18-24,Female,Pune,Basic,2023-04-29,Yes
V0389,45-54,Female,Pune,Family,2024-02-24,No
V0390,18-24,Non-binary,New York,Basic,2023-01-20,Yes
V0391,25-34,Non-binary,Pune,Basic,2022-05-02,Yes
V0392,18-24,Male,Chennai,Family,2024-05-04,No
V0393,45-54,Male,Hyderabad,Family,2023-06-29,Yes
V0394,35-44,Male,Delhi,Free,2022-06-08,No
V0395,18-24,Male,Hyderabad,Free,2023-09-22,Yes
V0396,18-24,Female,London,Free,2023-09-01,Yes
V0397,18-24,Female,Ahmedabad,Basic,2024-01-29,Yes
V0398,18-24,Male,New York,Premium,2024-02-12,Yes
V0399,55+,Female,London,Premium,2024-04-15,Yes
V0400,25-34,Non-binary,New York,Basic,2022-11-06,No
V0401,35-44,Male,New York,Basic,2022-11-04,No
V0402,45-54,Male,Kolkata,Family,2023-07-24,Yes
V0403,45-54,Female,Bangalore,Premium,2023-12-15,No
V0404,55+,Female,Hyderabad,Basic,2022-07-08,Yes
V0405,25-34,Female,Mumbai,Family,2024-05-28,No
V0406,55+,Male,Pune,Basic,2023-07-25,Yes
V0407,35-44,Non-binary,Delhi,Family,2022-07-28,Yes
V0408,55+,Non-binary,Hyderabad,Free,2022-04-05,Yes
V0409,55+,Non-binary,Mumbai,Free,2023-01-22,Yes
V0410,55+,Non-binary,New York,Basic,2024-04-03,No
V0411,35-44,Female,Mumbai,Basic,2022-08-02,Yes
V0412,18-24,Non-binary,Ahmedabad,Basic,2024-01-30,Yes
V0413,25-34,Non-binary,Kolkata,Premium,2023-02-11,No
V0414,55+,Non-binary,Kolkata,Premium,2023-04-23,Yes
V0415,55+,Female,Ahmedabad,Free,2023-01-04,No
V0416,35-44,Male,Kolkata,Premium,2024-02-19,No
V0417,55+,Male,Bangalore,Free,2022-02-16,Yes
V0418,55+,Non-binary,Pune,Premium,2023-07-21,Yes
V0419,35-44,Male,Pune,Basic,2022-07-20,No
V0420,35-44,Female,Ahmedabad,Family,2023-07-18,No
V0421,35-44,Male,Bangalore,Family,2022-06-22,Yes
V0422,18-24,Non-binary,Mumbai,Free,2023-07-10,Yes
V0423,18-24,Female,Bangalore,Basic,2024-02-22,Yes
V0424,25-34,Male,Hyderabad,Family,2023-12-26,Yes
V0425,55+,Non-binary,London,Family,2022-03-03,No
V0426,18-24,Non-binary,New York,Family,2022-01-17,Yes
V0427,55+,Non-binary,Chennai,Premium,2022-01-18,Yes
V0428,45-54,Male,Delhi,Free,2023-05-30,Yes
V0429,25-34,Non-binary,New York,Premium,2022-09-04,Yes
V0430,45-54,Male,Kolkata,Family,2022-10-01,No
V0431,25-34,Non-binary,Hyderabad,Premium,2023-08-02,Yes
V0432,18-24,Male,Pune,Family,2023-11-01,No
V0433,45-54,Male,Mumbai,Basic,2023-07-20,Yes
V0434,45-54,Non-binary,Kolkata,Free,2023-05-27,Yes
V0435,25-34,Non-binary,London,Family,2022-08-24,Yes
V0436,18-24,Non-binary,Chennai,Free,2022-02-17,Yes
V0437,35-44,Male,Hyderabad,Basic,2024-05-20,No
V0438,35-44,Male,London,Basic,2022-03-20,No
V0439,55+,Female,Pune,Basic,2023-11-25,Yes
V0440,35-44,Male,Delhi,Family,2023-05-28,Yes
V0441,18-24,Female,London,Family,2024-05-08,Yes
V0442,35-44,Female,Ahmedabad,Basic,2022-01-31,Yes
V0443,45-54,Female,Bangalore,Family,2023-07-21,Yes
V0444,55+,Female,Hyderabad,Free,2024-03-01,Yes
V0445,25-34,Female,Bangalore,Family,2022-10-02,Yes
V0446,18-24,Male,Mumbai,Premium,2023-01-05,No
V0447,35-44,Male,Bangalore,Free,2023-01-04,Yes
V0448,45-54,Non-binary,New York,Family,2023-03-18,Yes
V0449,18-24,Female,New York,Free,2022-01-27,Yes
V0450,45-54,Male,Chennai,Family,2024-06-03,No
