activity_id,viewer_id,movie_id,watch_date,watch_duration_min,completion_pct,platform,rating_given
WA00166,V0426,M005,2025-03-09,88,83,Mobile,6.3
WA00167,V0402,M010,2024-10-31,55,44,Mobile,6.2
WA00168,V0499,M010,2024-11-21,118,96,Web,5.2
WA00169,V0281,M007,2024-12-15,38,35,Tablet,9.3
WA00170,V0002,M012,2025-02-01,79,60,Mobile,7.5
WA00171,V0487,M015,2024-10-29,74,49,Mobile,8.3
WA00172,V0234,M002,2024-10-26,71,59,Smart TV,4.5
WA00173,V0437,M001,2024-10-26,39,35,Smart TV,5.2
WA00174,V0049,M011,2024-12-20,63,44,Mobile,2.6
WA00175,V0184,M003,2025-03-19,79,72,Tablet,9.7
WA00176,V0094,M005,2024-10-24,100,73,Mobile,5.5
WA00177,V0410,M008,2024-12-09,126,91,Tablet,7.4
WA00178,V0357,M013,2024-11-12,47,46,Mobile,9.9
WA00179,V0467,M014,2024-11-10,85,83,Tablet,8.5
WA00180,V0399,M011,2025-01-21,88,78,Smart TV,7.1
WA00181,V0472,M014,2025-03-25,96,91,Tablet,3.3
WA00182,V0134,M007,2025-01-21,36,38,Smart TV,2.6
WA00183,V0490,M014,2025-03-23,91,58,Smart TV,6.4
WA00184,V0339,M012,2025-03-29,86,85,Web,6.1
WA00185,V0430,M011,2025-03-23,68,49,Mobile,2.6
WA00186,V0437,M015,2024-11-10,138,90,Tablet,9.0
WA00187,V0170,M002,2025-02-03,78,60,Smart TV,2.9
WA00188,V0419,M004,2025-02-18,111,81,Web,3.1
WA00189,V0439,M008,2025-02-24,60,41,Tablet,5.9
WA00190,V0207,M002,2025-02-05,39,43,Tablet,2.8
WA00191,V0456,M009,2024-10-01,68,68,Web,7.4
WA00192,V0419,M008,2024-12-27,48,36,Web,8.8
WA00193,V0367,M006,2025-02-21,114,76,Tablet,3.4
WA00194,V0175,M013,2025-03-18,35,30,Smart TV,8.7
WA00195,V0192,M013,2024-12-14,153,96,Mobile,2.8
WA00196,V0055,M003,2025-02-04,87,82,Smart TV,7.1
WA00197,V0235,M004,2024-10-31,79,57,Web,7.9
WA00198,V0396,M002,2025-01-15,42,45,Tablet,5.9
WA00199,V0003,M010,2025-02-07,99,93,Mobile,6.6
WA00200,V0400,M007,2025-02-27,143,95,Web,7.7
WA00201,V0337,M003,2024-11-02,81,79,Smart TV,6.3
WA00202,V0204,M007,2025-01-16,78,65,Smart TV,9.8
WA00203,V0309,M008,2024-11-04,87,82,Smart TV,8.8
WA00204,V0103,M009,2024-12-20,91,57,Web,7.2
WA00205,V0364,M005,2025-03-25,61,46,Web,6.3
WA00206,V0390,M012,2025-03-13,57,44,Smart TV,6.7
WA00207,V0147,M010,2025-02-24,140,98,Tablet,8.6
WA00208,V0075,M009,2024-10-28,72,78,Mobile,7.5
WA00209,V0350,M004,2024-12-08,72,66,Smart TV,3.6
WA00210,V0386,M001,2025-03-26,71,56,Mobile,5.2
WA00211,V0122,M008,2024-10-27,93,79,Smart TV,7.7
WA00212,V0490,M001,2025-01-06,115,83,Smart TV,9.7
WA00213,V0318,M001,2024-10-04,67,55,Tablet,8.7
WA00214,V0379,M015,2025-03-12,135,99,Web,8.3
WA00215,V0350,M004,2024-12-15,76,52,Mobile,3.9
WA00216,V0021,M003,2025-02-09,81,78,Tablet,4.6
WA00217,V0003,M005,2024-11-03,68,62,Smart TV,6.0
WA00218,V0476,M015,2024-11-09,46,49,Smart TV,7.0
WA00219,V0405,M013,2025-03-10,117,92,Smart TV,3.0
WA00220,V0490,M012,2024-12-21,91,58,Web,6.4
WA00221,V0279,M013,2025-02-07,91,83,Tablet,3.2
WA00222,V0185,M004,2024-11-24,95,72,Smart TV,4.1
WA00223,V0288,M013,2025-03-08,141,90,Mobile,3.4
WA00224,V0491,M006,2025-01-23,73,61,Mobile,7.6
WA00225,V0132,M006,2025-01-06,82,79,Smart TV,2.7
WA00226,V0229,M009,2025-01-04,147,95,Tablet,2.8
WA00227,V0264,M015,2025-03-16,80,71,Mobile,9.6
WA00228,V0321,M003,2025-02-15,47,30,Mobile,4.1
WA00229,V0106,M011,2024-11-24,61,43,Tablet,7.3
WA00230,V0236,M002,2025-03-25,35,33,Smart TV,2.8
WA00231,V0286,M002,2024-10-14,69,62,Mobile,6.8
WA00232,V0231,M004,2024-12-06,112,79,Tablet,5.7
WA00233,V0004,M001,2025-01-08,102,98,Mobile,8.2
WA00234,V0476,M010,2024-10-12,74,75,Mobile,4.7
WA00235,V0392,M011,2024-12-17,66,66,Tablet,5.4
WA00236,V0081,M014,2025-03-19,83,90,Web,3.5
WA00237,V0153,M007,2025-02-17,60,48,Smart TV,9.7
WA00238,V0022,M001,2025-02-19,48,45,Mobile,6.8
WA00239,V0157,M007,2025-02-15,64,40,Web,8.1
WA00240,V0464,M015,2024-12-28,95,82,Web,3.7
WA00241,V0059,M004,2025-03-07,65,54,Web,7.5
WA00242,V0331,M010,2024-10-14,142,89,Mobile,4.7
WA00243,V0372,M002,2024-12-04,56,55,Tablet,9.6
WA00244,V0146,M006,2024-11-02,50,42,Mobile,9.3
WA00245,V0316,M006,2025-02-02,105,72,Smart TV,7.7
WA00246,V0491,M003,2025-02-22,95,70,Tablet,3.8
WA00247,V0142,M006,2024-12-03,100,85,Smart TV,3.5
WA00248,V0229,M012,2024-12-24,134,89,Smart TV,8.3
WA00249,V0331,M008,2025-02-19,53,52,Mobile,8.8
WA00250,V0135,M014,2024-11-05,86,55,Mobile,8.0
WA00251,V0417,M015,2024-10-05,50,33,Tablet,8.3
WA00252,V0279,M004,2024-10-10,100,63,Tablet,7.4
WA00253,V0457,M003,2025-01-02,81,58,Smart TV,3.5
WA00254,V0187,M009,2025-02-08,80,80,Mobile,7.5
WA00255,V0072,M014,2025-03-07,105,95,Tablet,3.7
WA00256,V0481,M010,2025-02-22,98,91,Smart TV,2.8
WA00257,V0136,M013,2025-02-02,45,38,Smart TV,4.3
WA00258,V0199,M011,2024-11-22,118,76,Tablet,9.4
WA00259,V0053,M015,2024-10-12,67,71,Smart TV,8.8
WA00260,V0193,M005,2025-02-26,82,52,Tablet,5.2
WA00261,V0193,M011,2024-10-20,96,62,Web,6.4
WA00262,V0455,M006,2024-12-28,138,91,Mobile,6.3
WA00263,V0040,M003,2025-01-21,65,59,Smart TV,4.1
WA00264,V0339,M003,2024-11-10,61,45,Web,5.6
WA00265,V0246,M006,2024-10-30,137,91,Web,6.9
WA00266,V0023,M011,2025-01-14,56,61,Web,6.8
WA00267,V0457,M003,2024-11-04,54,35,Web,2.9
WA00268,V0307,M005,2024-11-16,126,81,Mobile,9.1
WA00269,V0111,M012,2025-03-19,50,40,Tablet,7.0
WA00270,V0426,M008,2025-02-01,64,58,Tablet,7.0
WA00271,V0136,M013,2025-02-27,107,95,Web,7.9
WA00272,V0194,M006,2025-01-25,57,59,Tablet,3.5
WA00273,V0351,M001,2024-11-21,146,94,Tablet,8.7
WA00274,V0462,M010,2024-10-25,100,90,Mobile,9.1
WA00275,V0247,M009,2025-02-06,43,41,Web,9.3
WA00276,V0216,M009,2024-10-01,139,96,Smart TV,9.1
WA00277,V0481,M012,2025-02-13,84,59,Tablet,8.4
WA00278,V0069,M007,2024-12-29,85,84,Smart TV,6.1
WA00279,V0210,M004,2024-10-22,124,99,Smart TV,3.9
WA00280,V0267,M012,2024-10-02,70,45,Mobile,5.3
WA00281,V0186,M004,2025-03-26,106,82,Mobile,3.7
WA00282,V0438,M011,2025-02-27,76,63,Tablet,6.7
WA00283,V0212,M010,2024-12-10,78,56,Tablet,3.8
WA00284,V0158,M009,2025-02-20,93,62,Smart TV,8.3
WA00285,V0229,M007,2024-11-05,61,59,Web,3.3
WA00286,V0315,M009,2025-01-11,133,100,Mobile,3.7
WA00287,V0242,M011,2024-10-02,48,48,Tablet,3.2
WA00288,V0312,M005,2024-11-26,54,40,Mobile,7.9
WA00289,V0365,M015,2025-01-11,102,66,Mobile,9.6
WA00290,V0006,M014,2024-11-14,131,86,Web,8.9
WA00291,V0018,M015,2025-02-10,68,54,Web,7.1
WA00292,V0336,M011,2024-10-10,81,60,Mobile,9.8
WA00293,V0343,M002,2024-12-10,105,75,Tablet,5.5
WA00294,V0471,M004,2025-02-10,34,38,Mobile,6.6
WA00295,V0494,M012,2025-02-21,99,74,Smart TV,4.2
WA00296,V0134,M004,2025-01-25,42,30,Web,5.6
WA00297,V0151,M002,2025-02-21,93,94,Smart TV,9.6
WA00298,V0417,M013,2025-02-09,119,98,Smart TV,7.7
WA00299,V0388,M007,2025-02-22,92,61,Smart TV,9.7
WA00300,V0247,M008,2025-03-24,48,33,Mobile,4.4
WA00301,V0410,M007,2025-03-12,69,59,Smart TV,5.6
WA00302,V0359,M006,2025-02-10,48,31,Smart TV,4.4
WA00303,V0284,M002,2025-01-11,51,39,Web,6.1
WA00304,V0485,M006,2024-11-25,65,53,Web,6.2
WA00305,V0106,M004,2024-11-30,75,63,Web,4.0
WA00306,V0399,M004,2025-03-08,66,49,Mobile,3.4
WA00307,V0392,M002,2025-03-23,45,30,Mobile,8.9
WA00308,V0460,M006,2025-03-08,120,93,Smart TV,6.2
WA00309,V0114,M013,2025-02-08,100,80,Web,2.9
WA00310,V0017,M013,2025-01-17,149,99,Smart TV,5.5
WA00311,V0358,M011,2024-11-14,66,45,Tablet,4.9
WA00312,V0298,M001,2024-10-04,90,78,Mobile,4.9
WA00313,V0135,M010,2024-12-06,113,100,Web,4.5
WA00314,V0256,M010,2024-12-27,72,53,Tablet,4.1
WA00315,V0144,M012,2025-01-04,110,81,Tablet,3.8
WA00316,V0370,M003,2025-02-25,49,42,Smart TV,8.5
WA00317,V0075,M009,2025-01-19,75,55,Web,6.0
WA00318,V0069,M001,2024-11-15,132,93,Smart TV,8.4
WA00319,V0051,M005,2024-12-04,76,80,Web,3.0
WA00320,V0231,M014,2024-12-05,63,42,Smart TV,4.4
WA00321,V0011,M006,2025-02-21,90,74,Tablet,3.4
WA00322,V0090,M014,2025-03-23,112,98,Smart TV,5.2
WA00323,V0456,M011,2025-02-08,132,87,Mobile,5.4
WA00324,V0328,M005,2025-01-27,55,51,Smart TV,5.7
WA00325,V0041,M010,2025-02-24,54,39,Web,5.1
WA00326,V0310,M006,2024-12-21,81,64,Tablet,4.5
WA00327,V0212,M008,2025-01-01,135,87,Web,3.9
WA00328,V0482,M001,2024-11-02,74,62,Mobile,4.1
WA00329,V0480,M007,2024-10-27,38,38,Tablet,6.6
WA00330,V0054,M001,2025-01-10,62,40,Smart TV,7.1
WA00331,V0118,M002,2025-03-17,95,69,Web,8.0
WA00332,V0270,M008,2025-03-10,48,46,Web,2.7
WA00333,V0240,M011,2024-12-31,117,90,Smart TV,6.6
WA00334,V0303,M003,2025-03-28,82,52,Tablet,7.2
WA00335,V0328,M011,2025-02-22,140,97,Smart TV,9.3
WA00336,V0227,M008,2025-02-16,48,41,Smart TV,5.2
WA00337,V0001,M005,2024-11-09,39,31,Web,5.1
WA00338,V0485,M008,2025-02-14,83,92,Tablet,4.7
WA00339,V0408,M013,2025-01-19,74,59,Mobile,6.6
WA00340,V0128,M004,2025-01-14,116,80,Web,7.9
WA00341,V0135,M011,2025-01-08,80,58,Mobile,5.7
WA00342,V0333,M004,2025-02-10,81,66,Smart TV,5.6
WA00343,V0149,M014,2024-10-18,53,47,Mobile,7.3
WA00344,V0097,M010,2025-01-24,114,92,Smart TV,2.6
WA00345,V0498,M001,2025-02-14,48,53,Mobile,4.6
WA00346,V0047,M003,2025-01-21,53,59,Web,2.6
WA00347,V0403,M004,2024-12-27,98,69,Tablet,10.0
WA00348,V0042,M008,2025-03-28,67,72,Web,2.9
WA00349,V0241,M013,2025-01-09,98,99,Web,3.9
WA00350,V0063,M014,2024-12-04,42,31,Web,5.4
WA00351,V0236,M008,2024-12-03,51,55,Mobile,6.4
WA00352,V0480,M004,2025-01-30,95,69,Smart TV,3.7
WA00353,V0063,M012,2024-10-11,153,96,Smart TV,6.1
WA00354,V0443,M005,2024-11-20,48,36,Web,9.8
WA00355,V0008,M004,2025-03-12,102,71,Web,8.5
WA00356,V0005,M010,2024-10-31,85,61,Mobile,6.9
WA00357,V0395,M012,2025-01-30,83,77,Mobile,4.4
WA00358,V0031,M008,2024-10-24,49,37,Smart TV,7.3
WA00359,V0250,M012,2025-02-15,47,46,Web,4.9
WA00360,V0376,M009,2025-03-15,115,86,Web,2.7
WA00361,V0461,M007,2024-12-31,66,62,Mobile,6.1
WA00362,V0357,M008,2025-02-21,125,99,Tablet,3.9
WA00363,V0375,M003,2025-02-17,95,71,Tablet,4.6
WA00364,V0036,M014,2025-03-03,80,50,Web,5.9
WA00365,V0233,M014,2024-12-07,120,76,Mobile,8.3
WA00366,V0318,M009,2025-01-06,36,32,Smart TV,8.3
WA00367,V0420,M004,2024-12-22,96,98,Tablet,3.9
WA00368,V0314,M011,2025-02-05,78,49,Smart TV,4.9
WA00369,V0268,M011,2024-12-22,43,42,Mobile,2.8
WA00370,V0055,M003,2024-11-15,51,55,Tablet,3.9
WA00371,V0270,M001,2025-02-24,127,92,Smart TV,2.9
WA00372,V0477,M004,2025-03-05,30,31,Web,7.4
WA00373,V0185,M015,2024-10-21,55,37,Tablet,8.7
WA00374,V0021,M013,2024-10-15,120,97,Mobile,8.8
WA00375,V0052,M002,2024-11-25,65,42,Web,6.5
WA00376,V0292,M004,2024-11-19,95,61,Web,6.7
WA00377,V0346,M009,2025-01-15,77,75,Tablet,7.8
WA00378,V0282,M007,2024-10-27,58,53,Tablet,6.3
WA00379,V0478,M011,2024-11-10,135,86,Smart TV,9.3
WA00380,V0392,M009,2024-12-23,112,82,Tablet,8.7
WA00381,V0110,M006,2025-03-05,118,99,Tablet,8.2
WA00382,V0230,M015,2024-12-05,118,87,Tablet,2.5
WA00383,V0070,M001,2024-12-12,88,96,Smart TV,2.5
WA00384,V0396,M004,2024-11-24,41,32,Smart TV,9.4
WA00385,V0020,M009,2025-02-20,45,42,Tablet,5.2
WA00386,V0120,M003,2024-12-07,82,61,Smart TV,8.6
WA00387,V0376,M002,2025-02-24,80,57,Mobile,7.9
WA00388,V0423,M013,2025-02-01,103,92,Mobile,7.0
WA00389,V0400,M005,2024-10-10,55,40,Mobile,9.4
WA00390,V0477,M006,2024-12-29,120,83,Mobile,9.0
WA00391,V0028,M004,2025-03-17,70,78,Smart TV,6.4
WA00392,V0258,M006,2025-02-16,77,71,Web,3.6
WA00393,V0047,M011,2025-01-09,138,94,Web,5.7
WA00394,V0173,M013,2025-01-09,49,46,Mobile,6.1
WA00395,V0135,M012,2024-10-13,129,81,Mobile,5.5
WA00396,V0247,M007,2025-03-28,49,47,Web,6.2
WA00397,V0127,M011,2025-02-24,111,97,Web,3.0
WA00398,V0058,M013,2025-01-19,53,41,Tablet,5.7
WA00399,V0305,M006,2024-11-18,96,74,Mobile,8.3
WA00400,V0226,M003,2024-12-29,70,48,Mobile,9.4
WA00401,V0388,M004,2024-11-21,67,49,Mobile,3.3
WA00402,V0008,M001,2024-12-02,71,66,Smart TV,7.7
WA00403,V0012,M002,2024-12-18,132,90,Smart TV,4.1
WA00404,V0268,M009,2024-11-24,114,99,Smart TV,6.6
WA00405,V0299,M010,2024-11-06,71,78,Mobile,4.4
WA00406,V0028,M001,2024-12-12,73,64,Tablet,7.4
WA00407,V0340,M001,2024-10-18,88,64,Smart TV,9.0
WA00408,V0195,M001,2024-12-14,82,59,Mobile,9.3
WA00409,V0096,M008,2025-03-02,64,41,Web,6.3
WA00410,V0127,M008,2025-02-21,32,35,Smart TV,5.0
WA00411,V0351,M007,2024-11-10,68,74,Smart TV,5.2
WA00412,V0416,M005,2024-11-30,100,65,Mobile,7.2
WA00413,V0116,M015,2025-01-08,60,65,Web,5.1
WA00414,V0374,M007,2025-03-18,43,41,Tablet,6.4
WA00415,V0124,M011,2025-03-06,98,83,Web,5.7
WA00416,V0278,M005,2025-03-04,114,87,Web,4.1
WA00417,V0442,M003,2025-02-26,87,55,Web,4.8
WA00418,V0466,M012,2025-02-12,90,85,Web,7.4
WA00419,V0286,M010,2024-11-10,49,38,Mobile,3.9
WA00420,V0451,M014,2024-11-07,65,70,Tablet,9.7
WA00421,V0399,M005,2025-01-22,61,49,Web,3.3
WA00422,V0306,M003,2024-10-07,73,59,Web,4.2
WA00423,V0069,M001,2024-12-31,91,91,Tablet,7.8
WA00424,V0243,M006,2024-11-17,127,92,Web,3.7
WA00425,V0474,M004,2024-10-09,44,31,Smart TV,9.6
WA00426,V0034,M004,2025-03-21,64,56,Web,9.5
WA00427,V0444,M008,2025-03-07,107,71,Tablet,9.2
WA00428,V0369,M007,2025-01-12,74,78,Smart TV,5.5
WA00429,V0329,M012,2025-02-24,153,97,Mobile,6.4
WA00430,V0266,M008,2025-01-25,57,61,Tablet,9.9
WA00431,V0392,M001,2025-02-20,133,96,Mobile,3.9
WA00432,V0237,M008,2025-01-10,84,66,Web,5.7
WA00433,V0238,M010,2024-10-14,74,48,Tablet,3.2
WA00434,V0070,M009,2024-10-29,111,99,Tablet,5.6
WA00435,V0303,M008,2024-10-07,98,88,Web,9.1
WA00436,V0368,M002,2024-12-04,65,50,Mobile,3.2
WA00437,V0269,M012,2025-01-24,54,40,Tablet,8.0
WA00438,V0282,M009,2025-03-06,85,78,Tablet,2.8
